կազմակերպել,{{hy-conj-ել|mp=on}}
խուզել,{{hy-conj-ել|խուզ|mp=on}}
սպանել,{{hy-conj-el|սպան|mp=on}}
ջղայնացնել,{{hy-conj-ցն-ել}}
թարգմանել,{{hy-conj-ել|թարգման|mp=on}}
խոսել,{{hy-conj-ել|mp=on|caus=on}}
քայլել,{{hy-conj-ել|քայլ|caus=on}}
շպրտել,{{hy-conj-ել|շպրտ|mp=on}}
քշել,{{hy-conj-ել|քշ|mp=on}}
որսալ,{{hy-conj-ալ|որս|caus=on}}
մրսել,{{hy-conj-ել|մրս}}
հասնել,{{hy-conj-ել|հասն||հաս|caus=on}}
անհանգստանալ,{{hy-conj-ալ|անհանգստան||անհանգստաց|mp=on|caus=on}}
հոտոտել,{{hy-conj-ել|հոտոտ|mp=on}}
լսել,{{hy-conj-ել|լս|mp=on|caus=on}}
փախցնել,{{hy-conj-ցն-ել|փախ}}
հանվել,{{hy-conj-ել|հանվ|caus=on}}
հրամայել,{{hy-conj-ել|հրամայ|mp=on}}
փլվել,{{hy-conj-ել|փլվ}}
ծծել,{{hy-conj-ել|ծծ|mp=on|caus=on|note=in the sense of blowjob the causative is always the colloquial {{m|hy|ծծցնել}}}}
հիմարացնել,{{hy-conj-ցն-ել|հիմարա}}
խմել,{{hy-conj-ել|caus=on}}
հորանջել,{{hy-conj-ել|հորանջ}}
սիրել,{{hy-conj-ել|mp=on}}
հասկանալ,{{hy-conj-ալ|հասկան||հասկաց|caus=on}}
լինել,{{hy-conj-ել|լին||եղ}}
սովորել,{{hy-conj-ել|սովոր|caus=on}}
ուտել,{{hy-conj-ել|ուտ||կեր|imp1=[[կե՛ր]]|prohib1=[[մի՛]] [[կեր]]|caus=on}}
տեսնել,{{hy-conj-ել|տեսն||տես|imp1=[[տե՛ս]]|prohib1=[[մի՛]] [[տես]]|mp=on}}
նկարել,{{hy-conj-ել|նկար|mp=on}}
գրել,{{hy-conj-ել|mp=on|caus=on}}
ունենալ,{{hy-conj-ալ|ունեն||ունեց}}
հավատալ,{{hy-conj-ալ|հավատ|caus=on}}
ապրել,{{hy-conj-el|ապր}}
կանչել,{{hy-conj-ել|կանչ|mp=on}}
հավաքել,{{hy-conj-ել|հավաք|mp=on}}
անել,{{hy-conj-ել|ան||ար|imp1=[[արա՛]]|aor=արեց|mp=on|pass=արվել}}
մտնել,{{hy-conj-ել|մտն||մտ|caus=on}}
գնալ,{{hy-conj-ալ|գն}}
գնել,{{hy-conj-ել|գն|mp=on}}
սպասել,{{hy-conj-ել|սպաս|caus=on|mp=on}}
կարդալ,{{hy-conj-ալ|կարդ|caus=on}}
հիշել,{{hy-conj-ել|հիշ}}
կանգնել,{{hy-conj-el|կանգն|caus=on}}
