կազմակերպել,ել,նբ.
խուզել,ել,նբ.
սպանել,ել,նբ.
թարգմանել,ել,նբ.
խոսել,ել,նբ.,չբ.
քայլել,ել,չբ.
շպրտել,ել,նբ.
քշել,ել,նբ.,չբ.
որսալ,ալ,նբ.
մրսել,ել,չբ.
հասնել,ել,չբ
անհանգստանալ,ալ,չբ.
հոտոտել,ել,նբ.
լսել,ել,նբ.
հրամայել,ել,նբ.
ծծել,ել,նբ.
հիմարանալ,ալ,չբ.
խմել,ել,նբ.
հորանջել,ել,չբ.
սիրել,ել,նբ.
հասկանալ,ալ,նբ.
լինել,ել,չբ.
սովորել,ել,նբ.
ուտել,ել,նբ.
տեսնել,ել,նբ.
նկարել,ել,նբ.
գրել,ել,նբ.
ունենալ,ալ,նբ.
հավատալ,ալ,չբ.,նբ.
ապրել,ել,չբ.,նբ.
կանչել,ել,նբ.
հավաքել,ել,նբ.
անել,ել,նբ.
մտնել,ել,չբ.
գնալ,ալ,չբ.
գնել,ել,նբ.
սպասել,ել,չբ.,նբ.,
կարդալ,ալ,նբ.
հիշել,ել,նբ.
կանգնել,ել,չբ.
խորովել,ել,նբ.
շարժել,ել,նբ.
շարունակել,ել,նբ.
աշխատել,ել,չբ.,նբ.
չարանալ,ալ,չբ.
կարոտել,ել,չբ.,նբ.
ուզել,ել,նբ.
քնել,ել,չբ.
նայել,ել,չբ.
վազել,ել,չբ.
խոստանալ,ալ,նբ.
ֆշշալ,ալ,չբ.
հարբել,ել,չբ.
պարել,ել,չբ.
համբուրել,ել,նբ.
երազել,ել,նբ.
ուղարկել,ել,նբ.
պահել,ել,նբ.
ստանալ,ալ,նբ.
մտածել,ել,նբ.
հաղթել,ել,նբ.
հարցնել,ել,նբ.
կառուցել,ել,նբ.
կռվել,ել,չբ.
կռել,ել,նբ.
մարտնչել,ել,չբ.
հաստատել,ել,նբ.
ուզենալ,ալ,նբ.
ցանկանալ,ալ,նբ.
պառկել,ել,չբ.
փախչել,ել,չբ.
ազատել,ել,չբ.
աղաչել,ել,նբ.,չբ.
պաղատել,ել,չբ.,նբ.
աղոթել,ել,չբ.
աճել,ել,չբ.
բարևել,ել,չբ.
սահմանել,ել,նբ.
օգտագործել,ել,նբ.
սարքել,ել,նբ.
պատրաստել,ել,նբ.
շեշտել,ել,նբ.
խնդրել,ել,նբ.
կառավարել,ել,նբ.
աղավաղել,ել,նբ.
հոսել,ել,չբ.,նբ.
պատռել,ել,նբ.
գոռալ,ալ,չբ.
հանել,ել,նբ.
կրել,ել,նբ.
պատմել,ել,նբ.
հայտնել,ել,նբ.
հայտարարել,ել,նբ.
համարել,ել,նբ.
վերցնել,ել,նբ.
դնել,ել,նբ.
կախել,ել,նբ.
ժպտալ,ալ,չբ.
ծիծաղել,ել,չբ.
հանձնել,ել,նբ.
արարել,ել,նբ.
լցնել,ել,նբ.
պատկերել,ել,նբ.
բացատրել,ել,նբ.
հազալ,ալ,չբ.
մաղթել,ել,չբ.
փռշտալ,ալ,չբ.
լիզել,ել,նբ.
կատարել,ել,նբ.
կատաղել,ել,չբ.
զննել,ել,նբ.
դառնալ,ալ,չբ.
քննել,ել,նբ.
վերադառնալ,ալ,չբ.
զարմանալ,ալ,չբ.
գիտենալ,ալ,նբ.
իմանալ,ալ,նբ.
փրկել,ել,նբ.
տանել,ել,նբ.
գործել,ել,չբ.,նբ.
առնել,ել,նբ.
կտրել,ել,նբ.
բռնաբարել,ել,նբ.
ծխել,ել,նբ.,չբ.
արբենալ,ալ,չբ.
պաշտպանել,ել,նբ.
բերել,ել,նբ.
քաղել,ել,նբ.
խոսել,ել,նբ.,չբ.
բացել,ել,նբ.
փակել,ել,նբ.
ըմպել,ել,նբ.,չբ.
բրդել,ել,նբ.,չբ.
թռչել,ել,չբ.
թռնել,ել,չբ.
հետևել,ել,չբ.
բուսնել,ել,չբ.
խաղալ,ալ,չբ.,նբ.
նվագել,ել,նբ.,չբ.
բանալ,ալ,նբ.
թրջել,ել,նբ.
թառամել,ել,չբ.
թարշամել,ել,չբ.
հաշվել,ել,նբ.
քերել,ել,նբ.
աղալ,ալ,նբ.
արտասվել,ել,չբ.
դիել,ել,չբ.,նբ.
երգել,ել,նբ.,չբ.
կրծել,ել,նբ.
կարծել,ել,նբ.
կծել,ել,նբ.
ատել,ել,նբ.
նկատել,ել,նբ.
մկրտել,ել,նբ.
կեղծել,ել,չբ.,նբ.
կեղեքել,ել,նբ.
տանջել,ել,նբ.
ործկալ,ալ,չբ.
փսխել,ել,չբ.,նբ.
խառնել,ել,նբ.
գողանալ,ալ,նբ.
ընդունել,ել,նբ.
աղերսել,ել,նբ.
հարգել,ել,նբ.
գտնել,ել,նբ.
ծնել,ել,նբ.
ծանուցել,ել,նբ.
ճանաչել,ել,նբ.
ծամել,ել,նբ.
ձուլել,ել,նբ.
գարշել,ել,չբ.
քրտնել,ել,չբ.
հանգչել,ել,չբ.
